Date_ID,Date,Month,Quarter,Year
1,2023-01-01,January,1,2023
2,2023-01-02,January,1,2023
3,2023-01-03,January,1,2023
4,2023-01-04,January,1,2023
5,2023-01-05,January,1,2023
6,2023-01-06,January,1,2023
7,2023-01-07,January,1,2023
8,2023-01-08,January,1,2023
9,2023-01-09,January,1,2023
10,2023-01-10,January,1,2023
11,2023-01-11,January,1,2023
12,2023-01-12,January,1,2023
13,2023-01-13,January,1,2023
14,2023-01-14,January,1,2023
15,2023-01-15,January,1,2023
16,2023-01-16,January,1,2023
17,2023-01-17,January,1,2023
18,2023-01-18,January,1,2023
19,2023-01-19,January,1,2023
20,2023-01-20,January,1,2023
21,2023-01-21,January,1,2023
22,2023-01-22,January,1,2023
23,2023-01-23,January,1,2023
24,2023-01-24,January,1,2023
25,2023-01-25,January,1,2023
26,2023-01-26,January,1,2023
27,2023-01-27,January,1,2023
28,2023-01-28,January,1,2023
29,2023-01-29,January,1,2023
30,2023-01-30,January,1,2023
31,2023-01-31,January,1,2023
32,2023-02-01,February,1,2023
33,2023-02-02,February,1,2023
34,2023-02-03,February,1,2023
35,2023-02-04,February,1,2023
36,2023-02-05,February,1,2023
37,2023-02-06,February,1,2023
38,2023-02-07,February,1,2023
39,2023-02-08,February,1,2023
40,2023-02-09,February,1,2023
41,2023-02-10,February,1,2023
42,2023-02-11,February,1,2023
43,2023-02-12,February,1,2023
44,2023-02-13,February,1,2023
45,2023-02-14,February,1,2023
46,2023-02-15,February,1,2023
47,2023-02-16,February,1,2023
48,2023-02-17,February,1,2023
49,2023-02-18,February,1,2023
50,2023-02-19,February,1,2023
51,2023-02-20,February,1,2023
52,2023-02-21,February,1,2023
53,2023-02-22,February,1,2023
54,2023-02-23,February,1,2023
55,2023-02-24,February,1,2023
56,2023-02-25,February,1,2023
57,2023-02-26,February,1,2023
58,2023-02-27,February,1,2023
59,2023-02-28,February,1,2023
60,2023-03-01,March,1,2023
61,2023-03-02,March,1,2023
62,2023-03-03,March,1,2023
63,2023-03-04,March,1,2023
64,2023-03-05,March,1,2023
65,2023-03-06,March,1,2023
66,2023-03-07,March,1,2023
67,2023-03-08,March,1,2023
68,2023-03-09,March,1,2023
69,2023-03-10,March,1,2023
70,2023-03-11,March,1,2023
71,2023-03-12,March,1,2023
72,2023-03-13,March,1,2023
73,2023-03-14,March,1,2023
74,2023-03-15,March,1,2023
75,2023-03-16,March,1,2023
76,2023-03-17,March,1,2023
77,2023-03-18,March,1,2023
78,2023-03-19,March,1,2023
79,2023-03-20,March,1,2023
80,2023-03-21,March,1,2023
81,2023-03-22,March,1,2023
82,2023-03-23,March,1,2023
83,2023-03-24,March,1,2023
84,2023-03-25,March,1,2023
85,2023-03-26,March,1,2023
86,2023-03-27,March,1,2023
87,2023-03-28,March,1,2023
88,2023-03-29,March,1,2023
89,2023-03-30,March,1,2023
90,2023-03-31,March,1,2023
91,2023-04-01,April,2,2023
92,2023-04-02,April,2,2023
93,2023-04-03,April,2,2023
94,2023-04-04,April,2,2023
